AT,V,PE
17.51,44.9,455.01
23.22,66.56,437.11
11.73,40.64,477.06
21.19,67.71,441.71
5.48,40.07,495.76
24.26,66.44,445.63
12.32,41.62,464.72
31.26,68.94,438.03
32.09,72.86,434.78
24.98,60.32,444.67
27.48,61.41,452.24
21.04,45.09,450.92
27.75,70.4,436.53
22.79,71.77,435.53
24.22,68.51,440.01
27.06,64.45,443.1
29.25,71.94,427.49
26.86,68.08,436.25
29.64,67.79,440.74
19.92,63.31,443.54
18.5,51.43,459.42
23.71,60.23,439.66
14.39,44.84,464.15
19.3,56.65,459.1
24.65,52.36,455.68
13.5,45.51,469.08
9.82,41.26,478.02
18.4,44.06,456.8
28.12,44.89,441.13
17.15,43.69,463.88
30.69,73.67,430.45
28.82,65.71,449.18
21.3,48.92,447.89
30.58,70.04,431.59
21.17,52.3,447.5
9.87,41.82,475.58
22.18,59.8,453.24
24.39,63.21,446.4
10.73,44.92,476.81
9.38,40.46,474.1
20.27,57.76,450.71
24.82,66.48,433.62
16.55,41.66,465.14
20.73,59.87,445.18
9.51,39.22,474.12
8.63,43.79,483.91
6.48,40.27,486.68
14.95,43.52,464.98
5.76,45.87,481.4
10.94,39.04,479.2
15.87,41.16,463.86
12.42,38.25,472.3
29.12,58.84,446.51
29.12,51.43,437.71
19.08,41.1,458.94
31.06,67.17,437.91
5.72,39.33,490.76
26.52,65.06,439.66
13.84,44.9,463.27
13.03,39.52,473.99
25.94,66.49,433.38
16.64,53.82,459.01
14.13,40.75,471.44
13.65,39.28,471.91
14.5,44.47,465.15
19.8,51.19,446.66
25.2,63.76,438.15
20.66,51.19,447.14
12.07,43.71,472.32
25.64,70.72,441.68
23.33,72.99,440.04
29.41,64.05,444.82
16.6,53.16,457.26
27.53,72.58,428.83
20.62,43.43,449.07
26.02,71.94,435.21
12.75,44.2,471.03
12.87,48.04,465.56
25.77,62.96,442.83
14.84,41.48,460.3
7.41,40.71,474.25
8.87,41.82,477.97
9.69,40.46,472.16
16.17,46.97,456.08
26.24,49.82,452.41
13.78,43.22,463.71
26.3,67.07,433.72
17.37,57.76,456.4
23.6,48.98,448.43
8.3,36.08,481.6
18.86,42.18,457.07
22.12,49.39,451
28.41,75.6,440.28
29.42,71.32,437.47
18.61,67.71,443.57
27.57,69.84,426.6
12.83,41.5,470.87
9.64,39.85,478.37
19.13,58.66,453.92
15.92,40.56,470.22
24.64,72.24,434.54
27.62,63.9,442.89
8.9,36.24,479.03
9.55,43.99,476.06
10.57,36.71,473.88
19.8,57.25,451.75
25.63,56.85,439.2
24.7,58.46,439.7
15.26,46.18,463.6
20.06,52.84,447.47
19.84,56.89,447.92
11.49,44.63,471.08
23.74,72.43,437.55
22.62,51.3,448.27
29.53,72.39,431.69
21.32,48.14,449.09
20.3,58.46,448.79
16.97,44.92,460.21
12.07,41.17,479.28
7.46,41.82,483.11
19.2,54.2,450.75
28.64,66.54,437.97
13.56,41.48,459.76
17.4,44.9,457.75
14.08,40.1,469.33
27.11,69.75,433.28
20.92,70.02,444.64
16.18,44.9,463.1
15.57,44.68,460.91
10.37,39.04,479.35
19.6,59.21,449.23
9.22,40.92,474.51
27.76,72.99,435.02
28.68,70.72,435.45
20.95,48.14,452.38
9.06,39.3,480.41
9.21,39.72,478.96
13.65,42.74,468.87
31.79,76.2,434.01
14.32,44.6,466.36
26.28,75.23,435.28
7.69,43.02,486.46
14.44,40.1,468.19
9.19,41.01,468.37
13.35,41.39,474.19
23.04,74.22,440.32
4.83,38.44,485.32
17.29,42.86,464.27
8.73,36.18,479.25
26.21,70.32,430.4
23.72,58.62,447.49
29.27,64.69,438.23
10.4,40.43,492.09
12.19,40.75,475.36
20.4,54.9,452.56
34.3,74.67,427.84
27.56,68.08,433.95
30.9,70.8,435.27
14.85,58.59,454.62
16.42,40.56,472.17
16.45,63.31,452.42
10.14,42.02,472.17
9.53,41.44,481.83
17.01,49.15,458.78
23.94,62.08,447.5
15.95,49.25,463.4
11.15,41.26,473.57
25.56,70.32,433.72
27.16,66.44,431.85
26.71,77.95,433.47
29.56,74.22,432.84
31.19,70.94,436.6
6.86,41.17,490.23
12.36,41.74,477.16
32.82,68.31,441.06
25.3,70.98,440.86
8.71,41.82,477.94
13.34,40.8,474.47
14.2,43.02,470.67
23.74,65.34,447.31
16.9,44.88,466.8
28.54,71.94,430.91
30.15,69.88,434.75
14.33,42.86,469.52
25.57,59.43,438.9
30.55,70.04,429.56
28.04,74.33,432.92
26.39,49.16,442.87
15.3,41.76,466.59
6.03,41.14,479.61
13.49,44.63,471.08
27.67,59.14,433.37
24.19,65.48,443.92
24.44,59.14,443.5
29.86,64.79,439.89
30.2,69.59,434.66
7.99,41.38,487.57
9.93,41.62,464.64
11.03,42.32,470.92
22.34,63.73,444.39
25.33,48.6,442.48
18.87,52.08,449.61
25.97,69.34,435.02
16.58,43.99,458.67
14.35,46.18,461.74
25.06,62.39,438.31
13.85,48.92,462.38
16.09,44.2,460.56
26.34,59.21,439.22
23.01,58.79,444.64
26.39,71.25,430.34
31.32,71.29,430.46
16.64,45.87,456.79
13.42,41.23,468.82
20.06,44.9,448.51
14.8,44.71,470.77
12.59,41.14,465.74
26.7,66.56,430.21
19.78,50.32,449.23
15.17,49.15,461.89
21.71,61.45,445.72
19.09,39.39,466.13
19.76,51.19,448.71
14.68,41.23,469.25
21.3,66.86,450.56
16.73,39.64,464.46
12.26,41.5,471.13
14.77,48.06,461.52
18.26,59.15,451.09
27.1,79.74,431.51
14.72,40.83,469.8
26.3,51.43,442.28
16.48,48.92,458.67
17.99,43.79,462.4
20.34,59.8,453.54
25.53,62.96,444.38
31.59,58.9,440.52
30.8,69.14,433.62
10.75,45,481.96
19.3,44.9,452.75
4.71,39.42,481.28
23.1,66.05,439.03
32.63,73.88,435.75
26.63,74.16,436.03
24.35,58.49,445.6
15.11,56.03,462.65
29.1,50.05,438.66
21.24,50.32,447.32
6.16,39.48,484.55
7.36,41.01,476.8
10.44,39.04,480.34
26.76,48.41,440.63
16.79,44.6,459.48
10.76,40.43,490.78
6.07,38.91,483.56
27.33,73.18,429.38
27.15,59.21,440.27
22.35,51.43,445.34
21.82,65.27,447.43
21.11,69.94,439.91
19.95,50.59,459.27
7.45,39.61,478.89
15.36,41.66,466.7
15.65,43.5,463.5
25.31,74.33,436.21
25.88,63.47,443.94
24.6,63.94,439.63
22.58,41.54,460.95
19.69,59.14,448.69
25.85,75.08,444.63
10.06,37.83,473.51
18.59,39.54,462.56
18.27,50.16,451.76
8.85,40.43,491.81
30.04,68.08,429.52
26.06,49.02,437.9
14.8,38.73,467.54
23.93,64.45,449.97
23.72,66.48,436.62
11.44,40.55,477.68
20.28,63.86,447.26
27.9,63.13,439.76
24.74,59.39,437.49
14.8,58.2,455.14
8.22,41.03,485.5
27.56,66.93,444.1
32.07,70.94,432.33
9.53,44.03,471.23
13.61,42.34,463.89
22.2,51.19,445.54
21.36,59.54,446.09
23.25,63.86,445.12
23.5,59.21,443.31
8.46,39.66,484.16
8.19,40.69,477.76
30.67,71.29,430.28
32.48,62.04,446.48
8.99,36.66,481.03
13.77,47.83,466.07
19.05,67.32,447.47
21.19,55.5,455.93
10.12,40,479.62
24.93,47.01,455.06
8.47,40.46,475.06
24.52,56.85,438.89
28.55,69.84,432.7
20.58,50.9,452.6
18.31,46.21,451.75
27.18,71.06,430.66
4.43,38.91,491.9
26.02,74.78,439.82
15.75,39,460.73
22.99,60.95,449.7
25.52,59.15,439.42
27.04,65.06,439.84
6.42,35.57,485.86
17.04,40.12,458.1
10.79,39.82,479.92
20.41,56.03,458.29
7.36,40.07,489.45
28.08,73.42,434
24.74,69.13,431.24
28.32,47.93,439.5
16.71,40.56,467.46
30.7,71.58,429.27
18.42,58.95,452.1
10.62,42.02,472.41
22.18,69.05,442.14
22.38,49.3,441
13.94,41.58,463.07
21.24,60.84,445.71
6.76,39.81,483.16
26.73,68.84,440.45
7.24,38.06,481.83
10.84,40.62,467.6
19.32,52.84,450.88
29,69.13,425.5
23.38,54.42,451.87
31.17,69.51,428.94
26.17,48.6,439.86
30.9,73.42,433.44
24.92,73.68,438.23
32.77,71.32,436.95
14.37,40.56,470.19
8.36,40.22,484.66
31.45,68.27,430.81
31.6,73.17,433.37
17.9,48.98,453.02
20.35,50.9,453.5
16.21,41.23,463.09
19.36,44.6,464.56
21.04,65.46,452.12
14.05,40.69,470.9
23.48,64.15,450.89
21.91,63.76,445.04
24.42,63.07,444.72
14.26,40.92,460.38
21.38,58.33,446.8
15.71,44.06,465.05
5.78,40.62,484.13
6.77,39.81,488.27
23.84,49.21,447.09
21.17,58.16,452.02
19.94,58.96,455.55
8.73,41.92,480.99
16.39,41.67,467.68
15.28,40,458.76
22.05,59.92,437.9
18.63,48.92,450.29
15,41.17,468.72
20.46,59.21,445.22
11.97,45.51,472.82
26.59,59.92,438.22
13.76,45.08,469.74
21.41,59.43,442.85
12.45,37.92,470.59
10.62,39.64,477.07
12.33,37.73,470.11
15.63,44.9,457.44
19.11,50.16,450.38
21.83,41.1,453.38
22.02,64.45,454.9
26.54,71.98,431.78
6.9,39.81,481.88
13.05,34.03,472.69
19.61,45.01,461.97
26.26,63.73,442.18
30.56,71.25,431.92
21.81,63.77,444.52
26.65,58.41,442.66
25.18,57.5,449.01
17.8,46.48,452.66
33.27,66.44,430.11
29.94,65.74,440.54
8.51,34.69,481.83
9.45,36.71,476.02
24.27,60.23,438.99
11.28,42.44,473.36
7.93,41.01,476.37
14.3,42.99,467.9
24.31,63.86,442.69
29.3,70.04,426.25
20.43,63.09,445.58
10.94,39.69,459.69
23.04,57.32,442.01
25.37,44.89,442.38
21.1,49.16,442.78
20.4,57.85,450.07
20.51,48.6,448
12.15,38.78,474.15
15.27,41.16,467.01
23.78,60.27,441.56
22.01,60.84,441.9
24.72,77.54,438.52
28.84,73.03,435.75
26.53,54.2,439.96
19.82,41.67,456.87
16.69,40.56,469.9
20.36,56.53,455.34
18.6,68.28,446.98
12.54,40.1,475.02
14.54,46.18,463.03
30.97,67.9,428.26
26.54,71.14,431.31
25.2,59.21,444.16
13.17,38.52,468.82
8.53,40.77,481.03
24.06,58.2,445.91
12.25,41.38,474.77
14.7,40.8,472.85
15.75,39.39,468.6
29.45,74.16,438.11
30.22,68.3,434.3
26.96,72.58,429.03
18.48,58.59,452.52
17.78,50.66,456.11
6.64,39.04,481.53
21.83,63.13,443.41
13.92,39.58,465.67
12.14,40.27,472.84
15.64,38.28,466.51
16,44.9,461.5
9.75,43.69,481.34
13.56,43.67,467.09
7.94,40.56,488.01
20.46,54.2,448.1
18.23,62.26,448.64
23.14,63.94,446.57
20.55,46.21,448.66
23.58,49.3,440.44
14.51,42.77,463.37
10.05,40.71,471.68
26.91,61.5,436.84
15.66,41.35,463.57
30.07,69.82,437.38
24.28,68.31,440.07
12.57,39.3,473.67
11.01,42.02,473.96
23.3,72.99,437.62
28.76,60.23,437.42
21.4,68.28,450.22
30.33,68.67,435.53
18.89,67.71,443.54
18.83,47.83,454.23
12.32,43.69,471.6
25.15,68.51,440.96
17.06,52.9,460.82
23.68,49.02,440.68
11.95,39.82,474.56
25.39,58.79,441.51
11.52,40.8,479.56
19.69,56.65,455.32
26.1,74.16,437.18
27.44,74.9,436.42
27.35,66.05,439.6
25.7,69.45,437.04
24.54,58.66,448.11
14.87,41.23,465.01
14.05,40.35,475.54
25.69,73.18,432.82
31.01,67.69,426.64
9.46,42.28,481.95
7.71,40.77,482.19
15.69,37.64,462.18
26.45,64.27,444.9
22.86,60.08,452.34
21.61,49.39,449.26
25.66,77.54,432.82
22.48,71.29,444.71
21.58,63.87,451.88
25.94,77.24,432.88
16.45,44.68,462.66
27.88,63.87,443.24
26.62,65.12,441.22
27.94,49.16,436.75
5.02,45.87,481.03
31.87,71.22,437
24.49,68.61,447.57
30.42,67.69,430.9
20.85,59.21,444.44
13.18,40.03,470.88
5.37,38.68,487.07
31.81,69.88,432.6
20.55,48.98,452.52
22.49,69.84,437.57
12.57,39.18,471.87
27.35,69.48,432.31
17.82,49.15,457.35
23.25,56.9,442.76
9.37,40.11,471.13
24.43,58.2,444.89
20.04,49.39,449.63
10.06,43.22,473
21.44,50.78,443.3
29.04,62.26,433.97
8.83,41.26,478.87
24.19,46.21,440.87
11.97,41.04,468.81
19.43,52.9,458.46
15.59,45.09,457.54
13.23,42.34,462.21
16.34,41.16,462.56
28.1,61.02,437.5
26.08,70.32,434.24
24.44,52.84,440.2
18.37,58.96,460.25
22.93,51.19,443.57
29.67,73.67,429.28
12.15,43.71,472.59
15.67,45.17,462.09
14.7,48.6,460.63
27.33,52.84,438.97
12.55,38.91,474.35
31.42,69.13,425.98
15.44,39.54,469.28
24.19,47.45,446.3
